эпицентр,"эпицентр, Эпицентрі, Эпицентрлері",
Қазақстан,"Қазақстан, Қазақстаннан",
Республика,"Республика, Республикасы, Республиканың, Республикасының",
аумақ,"аумағында, аумағына",
болған,болған,??
жер_сілкіну,"жер сілкінісі, жер сілкіністері, Жер сілкінудің",
жер,"жер, жерлеріндегі, жері, жерлердегі, жердегі, жерлердің","қоқыс тастайтын жер, жер қойнау, көму жерлеріндегі"
жерасты,жерасты,
жерүсті,жерүсті,
қатер,"қатері, қатер, қатерімен",
жоқ,жоқ,
күш,"күш, күшті",жер сілкінісі күші
күшті,күшті,
балл,балл,
қайталану,"қайталану, қайта",
Шекаралас,Шекаралас,
жақын,жақын,
мемлекет,"мемлекет, мемлекеттер, ",
Сырғыма,"Сырғыма, Сырғымалар, ",
көшкін,"көшкін, көшкінінің, көшкіні, Көшкіндер",
Опырылу,"Опырылу, Опырылулар, опырылуы",
болу,"болу, болуы",
учаске,"учаске, учаскесінде, учаскелерін",
Жол,"Жол, тас жолы, жолдары, тас жол, жолдарында, жолдардағы, жолдарындағы, автожолда,жолдардың,  жолдарға, жолдарда ",
теміржол,"Темір жол, теміржол, теміржолдық",
жол_беру,жол берілген,допустимый
құбыржол,құбыржол,
жабық,жабық,жол жабық
Сел,"Сел, селдер,",
өзен,"өзен, өзенінде, Өзендерде, өзені, Өзендегі, өзендер, ",
Беткей,"беткей, Беткейлерді, Беткейлердің, Беткейдердің",
шаю,"шаю, шайылуы, шайылу, шайылуына, шайып кету, шайылып кету, шайылып кетуі",
жауын,"жаңбыр, жауын, жауын-шашыннан, жауынды, Жауыннан, жауын-шашынның, ",
күшті,Нөсер,
салдар,болғандықтан,
тасқын,"тасқын, тасқыны, тасқындарының",
Көлбеу,Көлбеу,
ағын,"ағын, ағыны",
су,"су, сулары, суларының, судан, судың, суға, суды, суларында, суда, сумен, ",
күтілу,"күтілу, күтілуде",
болды,болды,
Дауыл,"Дауыл, Дауылды, Дауылдар ",
авария,"авариялық авариясы, авариясын, авария",
авиа,"авиа, авиациялық, әуе",
авто,авто,
автокөлік,"автокөлік, автокөлікте, автокөліктегі, Автомобиль, Автомобиль көлігінде",
Автономды,Автономды,
ағаш,ағаш,
ағызу,ағызу,
ағын,"ағын, ағыны",
Адамдар,"Адамдар, Адамдарды, Адамдардың",
азықтүлік,азық-түлік,
айдын,"айдындарында, айдынының",
айналу,айналатын,
акватория,акваториясындағы,
акт,"акт, акті",
алдын_ала,"алдын ала, ",
алабы,алабында,орман алабында
алаң,"алаң, алаңдарында",
алынды,алынды,"бақылауға алынды, шектеуі алынды"
Антитеррорлық,Антитеррорлық,
анықтау,"анықталды, анықталу, анықтау",
анықталмаған,анықталмаған,
апат,"апат, апаттық",
авиаапат,авиаапат,
аппарат,аппаратының,
арасы,арасында,
арқылы,арқылы,
арналған,арналған,
арна1,арналардың,суармалы арналардың
арна2,"арналарында, арналары",тв арналары
арту,"артуы, арту",
артық,артық,
аса,аса,өте
астында,"астында, астындағы",
асып_кету,"асып кету, асып кетуі",
асыра толу,асыра толу,
Атмосфералық,Атмосфералық,
ауа,"ауадағы, ауасында",
аудан,"ауданында, аудан, ауданда",
Назар_аудар,Назар аударыңыздар,
аумақ,"аумақ, аумағында, аумақта, аумақтағы, аумағын",
ауру,"аурулар, аурулардың, ауруға шалдығу, ауруларға шалдығу, ауыру",- шалдығу
ауыз,ауыз,ауыз су
ауыл,ауыл,
ауылшаруашылық,ауылшаруашылық,
Ауыр,ауыр,ауыр металл
ауысым,ауысым,
ашық,ашық,"?? ашық кеңістік, ашық мұнай (отркытый) жол ашық (открыто)"
аяқтау,аяқталды,
база,базасындағы,
байланыс,байланыс,байланыс телекоммуникация
байланысы,байланысы,Адамдардың жануарлармен байланысы
бақылау,"бақылауға, бақылаңыз",
Балалар,"Балалар, Балаларды",
балл,балл,
балшықты,балшықты,
бар,бар,
барлау,барлау,
басқа,басқа,
бассейн,бассейнінің,
бастау,бастады,
басты,басты,су басты өткен шақ
басу,"басуы, басу, басып",су басу қаупі
батқандар,батқандар,
безгек,"безгегімен, Безгекпен, ",
Белгіленбеген,Белгіленбеген,
беру,беру,білім беру мекемесі
беті,бетінің,
Биологиялық,Биологиялық,
Білім,Білім,
бойы,бойында,өзені бойында
бойынша,бойынша,
болмайды,болмайды,"сабақ болмайды, шомылуға болмайды"
Абай_болыңыз,Абай болыңыз,
пайда_болу,"пайда болып, пайда болу",
боран,боран,
Бөгде,Бөгде,
бөгет1,бөгеті,су бөгеті (водная преграда)
бөгет2,бөгеттің,плотина
бөліну,бөліну,
Бөртпе сүзек,,
Бруцеллез,Бруцеллезбен,
бұзу,"бұзу, Бұзылу, Бұзылуы",
бұзу бөліну,бұзылуы/бөлінуі,
бұрғылау,бұрғылау,бұрғылау қондырғы - буровые установки
бұрқақ,бұрқақтары,
бұрқасын,бұрқасын,
бұршақ,бұршаққа,
Газ,"газ, газбен, Газдарды, газдардың, газы",
газ мұнай,газ-мұнай,
газконденсаттық,газконденсаттық,
геморрагиялық,геморрагиялық,
Гидроэлектрстанция,"Гидроэлектрстанциясындағы, Гидроэлектрстанциясындағы",
ГЭС,ГЭС,
ғимарат,"ғимараттар, ғимараттарда, ғимараттардағы, ғимараттарында, ғимараттарындағы, Ғимараттың, ғимаратының, ғимарат",
Әуежай,Әуежайдағы,
дала ,дала,
дауыл,"дауыл, дауылды",
дейін,"дейін, дейінгі",
ден,ден,ХХ.ХХ-ден
дене,дене,
деңгей,"деңгейі, деңгейінің",
егістік,Егістікте,
елді мекен,"елді мекендерде, елді мекендеріне, елді мекенді, елді мекенде, елді мекеніне, елді мекендерді, елді мекендерінде",
емдеу,емдеу,
енгізілу,енгізіледі,карантин енгізіледі
ересек,ересектердің,
ерте,ерте,ранний
ескерту,ескерту,
ететін,ететін,әсер ететін
жабдық,"жабдығында, жабдығының, жабдықтарына",
жағалау,"жағалауларды, жағалаулардың",
Жағдай,"Жағдай, жағдайлары",
жазатайым,жазатайым,
жайылу,"жайылу, жайылып","су жайылу (затопление), мұнайдың лас зат жайылып"
Жанғыш,Жанғыш,
жануар,"жануарлармен, жануарлардың",
жаппай,жаппай,
жарамдылық,жарамдылығын,
жариялау болды,жарияланды,
Жарылғыш,Жарылғыш,
Жарылмаған,Жарылмаған,
жарылу,"жарылу, жарылуы",
жасау,жасау,
жатпайтын,жатпайтын,кенге жатпайтын
жаттығу,жаттығу,учение
жеке,жеке,тұрғын үй (жеке)
жел,"жел, желдің ",
желі,"желі, желілеріндегі, желілерінің, желісінде, желісіндегі",
желкөтерме,желкөтермемен,
жеңіл,жеңіл,жеңіл өнеркәсіп
жетіспеушілік,"жетіспеушілігі, жетіспеушілік",
жинау,"жиналатын, жинау",жиналатын орын
жіберілу,жіберілді,запуск ракеты
жоғары,жоғары,
көтеру,"жоғарылауы, көтерілуі, көтеру, ",
жойылды,"жойылды, жою",Ликвидация
жолаушы,"жолаушы, жолаушылар",пассажирский
жүзу,жүзу,
жүйе,"жүйелерінде, жүйелеріндегі, жүйесіндегі",
Жүк,Жүк,
жүргізілу,жүргізіледі,Будет произведен
жұқа,жұқа,
жұқпалы,жұқпалы,
Жылу,Жылу,
Жылым,Жылымдардың,плывун
жылытқыш,жылытқышы,
жыныс,жыныстардың,
зақымдалу,зақымдалу,
Зардап_шеккендер,Зардап шеккендерді,
зат,"затпен, заттар, заттарды, заттардың, заттармен, заттары, заттарынан, заттарының",
зиянды,зиянды,
зиянкес,зиянкестерінің,
зымыран,зымыран,
ірі,ірі,ірі бұршақ
істен_шығу,істен шығу,
ішкі,ішкі,
карантин,карантин,
кез,"кездегі, кездегі",
кеме,"кеме, Кемелердің, кемелерінде, кемелеріндегі",
кен,"кен, кенге",
кенеттен,кенеттен,
кеңістік,кеңістіктердегі,
кептеліс,кептелістер,
кіру шығу,кіруі-шығуы,
коммуналдық,коммуналдық,
коммуникация,коммуникациясы,
Конго Қырым,Конго-Қырым,
концентрация,концентрациясынан,
Көктайғақ,Көктайғақ,
көлік,"көлігі, көлігінде, көлігіндегі, Көлік, көлікте, көліктегі, көліктеріндегі, көліктік",транспорт
көмір,көмір,
көміртек,көміртегі,
көму,көму,
көпір,"көпірдің, көпірлер, көпірлері",
көрінуі,Көрінуі,видимость
көтерген,көтерген,жел көтерген толқындар
кран,кранының,
күй,күйде,мас күйде
Күйдіргімен,Күйдіргімен,
күн_күркіреу,"күн күркіреу, күн күркіреуі",
күрт,күрт,
Күшті,Күшті,
кәріз,кәріз,
кəсіпорын,"кəсіпорнында, кəсіпорнындағы, кəсіпорында, кəсіпорындарында, кəсіпорындарындағы",
кәсіпшілік,кәсіпшілік,промысловые
қабат,қабатты,X қабатты үй
қабат2,қабатында,топырақ қабаты
қабылдау,қабылдау,прием
қазандық,"қазандық, қазандықтардың",
қазба,"қазбалардың, қазбалары, қазбаларын, қазбаларында, қазу",
қарауынсыз_қалдырмау,қарауынсыз қалдырмаңыздар,
қалқыма,қалқыма,
қалың,қалың,қалың тұман қалың қар
қамтамасыз_ету,"қамтамасыз ету, қамтамасыз етудің, қамтамасыз етуден",
қар,"қар, қарға",
Қарқынды,Қарқынды,
қату,"қата, қату",
қатқақ,қатқақ,
Қатты,Қатты,"Қатты көктайғақ, қатты күн күркіреу"
Қауіпті,"Қауіпті, қаупі",
қауіпті жаппай,қауіпті/жаппай,
Қауырт,Қауырт,
қирау,"қирау, қирауы",
қоғамдық,қоғамдық,
қозғалыс,"Қозғалысқа, қозғалысының",
Қойма,"Қойма, қоймасынан",
қойнау,қойнауын,жер қойнау
қою,қойылған,шектеу қойылған
қойыртпақ,қойыртпақтың,
қоқыс,қоқыс,
қондырғы,"қондырғыларда, қондырғылардағы, қондырғылары, қондырғыларында",
құбыржол,құбыржол,
құбыр,"құбырларында, құбырларындағы",
құлау,"құлау, құлауы, құлауының",
құрал,құралдарымен,
құрғақшылық,Құрғақшылық,
құрылыс,"құрылыс, құрылыстардың, құрылысындағы",
қызмет,қызмет,
жасау,көрсетуін,қызмет көрсету
қысым,қысымы,мұз қысымы
Қышқылды,Қышқылды,
ластану,"ластану, ластануы",
ластаушы,ластаушы,
лифт,лифтідегі,
м,м,
м с ,м/с,
магистраль,"магистральды, Магистральдық",
мақсат,"мақсаттағы, мақсатындағы",
мал,"Малдардың, Малдарының",
Марбург,Марбург,
мас,мас,
масса,массаның,балшықты массаның
материал,материалдары,
машина,машина,
мекеме,"мекемелерде, мекемелердегі, мекемелерінде, мекемелеріндегі",
металл,"металл, металдың",
металлургия,металлургия,
метан,Метанның,
Метрополитен,"Метрополитен, Метрополитендегі",
Мұз,"Мұз, мұздану, мұздануы, мұздың",
мұнай,"мұнай, мұнайдың",
